index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
953,0,0.0,0.0,0.0,0.225,-6,-2,15,644
960,0,0.0,0.0,0.0,0.225,-2,-30,14,644
961,0,0.0,0.0,0.0,0.225,-2,-30,15,644
968,0,0.0,0.0,0.0,0.225,-2,-26,14,644
969,0,0.0,0.0,0.0,0.225,-2,-26,15,644
976,0,0.0,0.0,0.0,0.225,-2,-22,14,644
977,0,0.0,0.0,0.0,0.225,-2,-22,15,644
984,0,0.0,0.0,0.0,0.225,-2,-18,14,644
985,0,0.0,0.0,0.0,0.225,-2,-18,15,644
992,0,0.0,0.0,0.0,0.225,-2,-14,14,644
993,0,0.0,0.0,0.0,0.225,-2,-14,15,644
1000,0,0.0,0.0,0.0,0.225,-2,-10,14,644
1001,0,0.0,0.0,0.0,0.225,-2,-10,15,644
1008,0,0.0,0.0,0.0,0.225,-2,-6,14,644
1009,0,0.0,0.0,0.0,0.225,-2,-6,15,644
1016,0,0.0,0.0,0.0,0.225,-2,-2,14,644
1017,0,0.0,0.0,0.0,0.225,-2,-2,15,644
1024,0,0.0,0.0,0.0,0.35,-30,-30,14,644
1025,0,0.0,0.0,0.0,0.35,-30,-30,15,644
1026,0,0.0,0.0,0.0,0.35,-30,-30,16,644
1032,0,0.0,0.0,0.0,0.35,-30,-26,14,644
1033,0,0.0,0.0,0.0,0.35,-30,-26,15,644
1040,0,0.0,0.0,0.0,0.35,-30,-22,14,644
1041,0,0.0,0.0,0.0,0.35,-30,-22,15,644
1048,0,0.0,0.0,0.0,0.35,-30,-18,14,644
1049,0,0.0,0.0,0.0,0.35,-30,-18,15,644
1056,0,0.0,0.0,0.0,0.35,-30,-14,14,644
1057,0,0.0,0.0,0.0,0.35,-30,-14,15,644
1064,0,0.0,0.0,0.0,0.35,-30,-10,14,644
1065,0,0.0,0.0,0.0,0.35,-30,-10,15,644
1072,0,0.0,0.0,0.0,0.35,-30,-6,14,644
1073,0,0.0,0.0,0.0,0.35,-30,-6,15,644
1080,0,0.0,0.0,0.0,0.35,-30,-2,14,644
1081,0,0.0,0.0,0.0,0.35,-30,-2,15,644
1088,0,0.0,0.0,0.0,0.35,-26,-30,14,644
1089,0,0.0,0.0,0.0,0.35,-26,-30,15,644
1090,0,0.0,0.0,0.0,0.35,-26,-30,16,644
1096,0,0.0,0.0,0.0,0.35,-26,-26,14,644
1097,0,0.0,0.0,0.0,0.35,-26,-26,15,644
1104,0,0.0,0.0,0.0,0.35,-26,-22,14,644
1105,0,0.0,0.0,0.0,0.35,-26,-22,15,644
1112,0,0.0,0.0,0.0,0.35,-26,-18,14,644
1113,0,0.0,0.0,0.0,0.35,-26,-18,15,644
1120,0,0.0,0.0,0.0,0.35,-26,-14,14,644
1121,0,0.0,0.0,0.0,0.35,-26,-14,15,644
1128,0,0.0,0.0,0.0,0.35,-26,-10,14,644
1129,0,0.0,0.0,0.0,0.35,-26,-10,15,644
1136,0,0.0,0.0,0.0,0.35,-26,-6,14,644
1137,0,0.0,0.0,0.0,0.35,-26,-6,15,644
1144,0,0.0,0.0,0.0,0.35,-26,-2,14,644
1145,0,0.0,0.0,0.0,0.35,-26,-2,15,644
